test_id,environment,timestamp,file_size_bytes,line_count,upload_time_ms,end_to_end_time_ms,processing_time_ms,status,error_message,cold_start
bgbfccb8,aws,2025-12-01T06:23:59.932762,15508,100,317.3220157623291,1466.4630889892578,72.0,success,,True
l2xqlj3t,aws,2025-12-01T06:24:03.724206,15534,100,142.02499389648438,1291.506290435791,20.0,success,,True
gxl5o299,aws,2025-12-01T06:24:07.170356,15538,100,139.74928855895996,1291.4578914642334,22.0,success,,False
wfcbhifx,aws,2025-12-01T06:24:09.612970,15534,100,138.66901397705078,2372.032880783081,20.0,success,,False
xthmx8w2,aws,2025-12-01T06:24:13.134560,15520,100,136.54804229736328,2365.70405960083,40.0,success,,False
ey83fmov,aws,2025-12-01T06:24:16.650534,15535,100,135.4050636291504,1285.329818725586,20.0,success,,False
ru5g59qf,aws,2025-12-01T06:24:19.080417,15551,100,158.203125,1313.6038780212402,20.0,success,,False
5vqbtmap,aws,2025-12-01T06:24:21.545490,15531,100,138.93914222717285,1293.8659191131592,19.0,success,,False
isig29j0,aws,2025-12-01T06:24:23.987384,15520,100,139.8141384124756,1289.3755435943604,18.0,success,,False
i88l6a46,aws,2025-12-01T06:24:26.429115,15495,100,135.93506813049316,2425.814628601074,20.0,success,,False
awerxw96,aws,2025-12-01T06:24:30.007319,15530,100,161.47208213806152,1312.5591278076172,21.0,success,,False
z8wu3n4j,aws,2025-12-01T06:24:32.470521,15539,100,155.90572357177734,1330.7247161865234,18.0,success,,False
rp3y1ne0,aws,2025-12-01T06:24:34.953915,77626,500,159.83271598815918,2391.6730880737305,29.0,success,,False
3h2p3amz,aws,2025-12-01T06:24:38.499296,77579,500,154.4802188873291,1302.2558689117432,27.0,success,,False
iumqlqlv,aws,2025-12-01T06:24:40.951102,77633,500,141.1721706390381,2375.56791305542,23.0,success,,False
9jd834p3,aws,2025-12-01T06:24:44.482457,77628,500,162.10603713989258,1312.9940032958984,25.0,success,,False
yfqqzs50,aws,2025-12-01T06:24:46.956592,77576,500,169.18087005615234,2395.7271575927734,21.0,success,,False
mh8pl5e7,aws,2025-12-01T06:24:50.511162,77534,500,141.92891120910645,1291.0940647125244,26.0,success,,False
bhtvcam3,aws,2025-12-01T06:24:52.953333,77601,500,153.20396423339844,2381.740093231201,27.0,success,,False
jtfn5mb7,aws,2025-12-01T06:24:56.491353,77552,500,149.28412437438965,2375.0100135803223,24.0,success,,False
dnprfsie,aws,2025-12-01T06:25:00.022639,77568,500,139.51778411865234,1289.431095123291,29.0,success,,False
qbcu3j2v,aws,2025-12-01T06:25:02.468326,77527,500,148.58293533325195,1301.7139434814453,24.0,success,,False
kwdcllvp,aws,2025-12-01T06:25:04.918613,155287,1000,155.63511848449707,2388.979196548462,26.0,success,,False
zbcgaf05,aws,2025-12-01T06:25:08.468509,155233,1000,161.7732048034668,1310.6811046600342,27.0,success,,False
rla3h33d,aws,2025-12-01T06:25:10.940328,155303,1000,155.6410789489746,1307.8572750091553,20.0,success,,False
wim7r51b,aws,2025-12-01T06:25:13.405150,155203,1000,167.81210899353027,2395.1940536499023,48.0,success,,False
1l2lgxdj,aws,2025-12-01T06:25:16.958563,155272,1000,160.35199165344238,1314.2709732055664,30.0,success,,False
dr9lhhxz,aws,2025-12-01T06:25:19.428538,155299,1000,166.6097640991211,1315.9959316253662,28.0,success,,False
m29v8utn,aws,2025-12-01T06:25:21.904364,155220,1000,165.31777381896973,1317.5361156463623,21.0,success,,False
06jxdb1l,aws,2025-12-01T06:25:24.382564,155216,1000,141.65711402893066,2371.218204498291,28.0,success,,False
engof9a8,aws,2025-12-01T06:25:27.913912,155335,1000,160.5229377746582,1308.953046798706,26.0,success,,False
0kqs8ct2,aws,2025-12-01T06:25:30.373488,155342,1000,141.08896255493164,2365.6129837036133,22.0,success,,False
