test_id,environment,timestamp,file_size_bytes,line_count,upload_time_ms,end_to_end_time_ms,processing_time_ms,status,error_message,cold_start
7dsuworo,local,2025-12-01T05:41:20.582139,15495,100,6.312847137451172,10194.991111755371,4.0,success,,True
0mpk2r3m,local,2025-12-01T05:41:32.808854,15519,100,3.749847412109375,2046.2079048156738,4.0,success,,True
ljafgl1c,local,2025-12-01T05:41:36.879008,15530,100,4.545688629150391,1030.2679538726807,5.0,success,,False
tp616j5g,local,2025-12-01T05:41:38.930527,15490,100,6.195068359375,2056.2171936035156,4.0,success,,False
1eyqjng4,local,2025-12-01T05:41:42.017779,15483,100,5.856990814208984,1030.7142734527588,4.0,success,,False
uazdauhc,local,2025-12-01T05:41:44.072866,15518,100,5.097150802612305,1030.8637619018555,3.0,success,,False
nefmz2wa,local,2025-12-01T05:41:46.134092,15496,100,6.823062896728516,1029.4232368469238,3.0,success,,False
n550n49y,local,2025-12-01T05:41:48.192920,15503,100,5.8650970458984375,1030.8880805969238,2.0,success,,False
aidxzouf,local,2025-12-01T05:41:50.256032,15522,100,6.245851516723633,1029.4220447540283,3.0,success,,False
y5qby4x0,local,2025-12-01T05:41:52.314463,15517,100,5.872011184692383,1030.6100845336914,3.0,success,,False
abihw5i0,local,2025-12-01T05:41:54.374656,15524,100,6.418943405151367,1033.9000225067139,3.0,success,,False
qieprpu0,local,2025-12-01T05:41:56.443592,15503,100,7.665157318115234,2053.834915161133,4.0,success,,False
8ine6o2x,local,2025-12-01T05:41:59.531649,77659,500,5.776166915893555,1031.1291217803955,5.0,success,,False
yy3u2p0r,local,2025-12-01T05:42:01.598425,77609,500,5.712032318115234,1029.487133026123,4.0,success,,False
t5ttug19,local,2025-12-01T05:42:03.659780,77638,500,5.344152450561523,1020.622730255127,5.0,success,,False
jfxzfh5i,local,2025-12-01T05:42:05.716064,77591,500,6.798982620239258,1035.8400344848633,5.0,success,,False
tsvm9uoa,local,2025-12-01T05:42:07.787730,77537,500,5.753993988037109,1030.074119567871,5.0,success,,False
m4tahs9y,local,2025-12-01T05:42:09.847433,77612,500,5.535125732421875,1033.8668823242188,5.0,success,,False
g8ebzs3r,local,2025-12-01T05:42:11.904441,77501,500,5.432844161987305,1030.3921699523926,5.0,success,,False
k5fyxc71,local,2025-12-01T05:42:13.959614,77560,500,6.206989288330078,1029.9699306488037,5.0,success,,False
pdj81oym,local,2025-12-01T05:42:16.017119,77697,500,6.658792495727539,1029.4699668884277,3.0,success,,False
kwmfchhq,local,2025-12-01T05:42:18.079500,77612,500,5.151033401489258,1030.9779644012451,4.0,success,,False
3l2tj9e1,local,2025-12-01T05:42:20.143727,155224,1000,7.714033126831055,1031.8188667297363,8.0,success,,False
f68k5xxt,local,2025-12-01T05:42:22.215638,155347,1000,7.336854934692383,2052.7310371398926,6.0,success,,False
zhwuj4vw,local,2025-12-01T05:42:25.309231,155220,1000,6.265878677368164,3066.159725189209,5.0,success,,False
4rqr7h2d,local,2025-12-01T05:42:29.409875,155196,1000,8.040904998779297,1035.2258682250977,6.0,success,,False
uvth9ki5,local,2025-12-01T05:42:31.484855,155229,1000,8.50820541381836,1028.0802249908447,6.0,success,,False
fv8rh97t,local,2025-12-01T05:42:33.551186,155205,1000,7.512807846069336,1027.524709701538,6.0,success,,False
icxdhosn,local,2025-12-01T05:42:35.616137,155232,1000,5.057096481323242,1029.0329456329346,7.0,success,,False
n1ua80hw,local,2025-12-01T05:42:37.664046,155410,1000,7.556915283203125,2051.6867637634277,7.0,success,,False
v6v193gd,local,2025-12-01T05:42:40.754872,155213,1000,7.076263427734375,1032.6862335205078,6.0,success,,False
mtngdwwq,local,2025-12-01T05:42:42.823930,155251,1000,8.05521011352539,1026.414155960083,6.0,success,,False
