test_id,environment,timestamp,file_size_bytes,line_count,upload_time_ms,end_to_end_time_ms,processing_time_ms,status,error_message,cold_start
tmoowjy6,local,2025-12-01T09:19:39.574149,15477,100,4.7149658203125,2367.919683456421,6.0,success,,True
g7c5a3pn,local,2025-12-01T09:19:42.945329,15486,100,4.46009635925293,1058.4170818328857,2.0,success,,True
qd5a3zzf,local,2025-12-01T09:19:45.014961,15513,100,17.13395118713379,1332.3097229003906,1.0,success,,False
1gns5sqe,local,2025-12-01T09:19:45.016513,15533,100,29.341936111450195,1362.0710372924805,1.0,success,,False
dhmbqp2z,local,2025-12-01T09:19:45.015085,15537,100,19.440174102783203,1366.5459156036377,1.0,success,,False
kyg4qrkn,local,2025-12-01T09:19:45.007253,15563,100,26.035785675048828,1376.1401176452637,1.0,success,,False
epyree3l,local,2025-12-01T09:19:45.009185,15532,100,22.132158279418945,1373.9371299743652,1.0,success,,False
lo2r7vmq,local,2025-12-01T09:19:45.011191,15528,100,20.15089988708496,1384.3998908996582,1.0,success,,False
m47su53j,local,2025-12-01T09:19:45.017147,15486,100,29.517650604248047,1377.6397705078125,1.0,success,,False
bv5pa8xq,local,2025-12-01T09:19:45.017544,15511,100,30.17902374267578,1382.5299739837646,1.0,success,,False
0gllsuhm,local,2025-12-01T09:19:45.015733,15526,100,31.480789184570312,1386.1629962921143,1.0,success,,False
udsdsgcx,local,2025-12-01T09:19:45.013300,15549,100,41.67914390563965,1389.5611763000488,1.0,success,,False
jdqw6hyp,local,2025-12-01T09:19:46.416911,77578,500,18.391132354736328,1113.3310794830322,2.0,success,,False
1tzbhadk,local,2025-12-01T09:19:46.409281,77683,500,29.615163803100586,1125.6988048553467,2.0,success,,False
ocsborm6,local,2025-12-01T09:19:46.413097,77561,500,27.64606475830078,1118.523120880127,2.0,success,,False
s6qd8432,local,2025-12-01T09:19:46.413326,77623,500,23.920059204101562,1114.3839359283447,2.0,success,,False
pae6l7h3,local,2025-12-01T09:19:46.421053,77667,500,24.229764938354492,1106.3809394836426,2.0,success,,False
0dcyagzr,local,2025-12-01T09:19:46.420724,77575,500,35.55893898010254,1106.0268878936768,2.0,success,,False
i5l3mh3m,local,2025-12-01T09:19:46.415208,77668,500,25.922060012817383,1117.6819801330566,2.0,success,,False
oe7hjdok,local,2025-12-01T09:19:46.411188,77683,500,32.829999923706055,1125.906229019165,3.0,success,,False
ag8m2n02,local,2025-12-01T09:19:46.420437,77654,500,25.50196647644043,1108.1898212432861,2.0,success,,False
iwi3tcz9,local,2025-12-01T09:19:46.415295,77620,500,27.65488624572754,1112.7350330352783,2.0,success,,False
wipfx0ie,local,2025-12-01T09:19:47.543656,155189,1000,28.91373634338379,1080.2361965179443,4.0,success,,False
85dn6nni,local,2025-12-01T09:19:47.540217,155280,1000,42.64068603515625,1106.731653213501,3.0,success,,False
qmb1hdva,local,2025-12-01T09:19:47.552567,155241,1000,27.86111831665039,1084.6621990203857,2.0,success,,False
h002068w,local,2025-12-01T09:19:47.549568,155310,1000,26.118040084838867,1084.463119506836,2.0,success,,False
1eiun54g,local,2025-12-01T09:19:47.544176,155224,1000,49.894094467163086,1107.6469421386719,2.0,success,,False
fimvt5z7,local,2025-12-01T09:19:47.552546,155337,1000,34.69991683959961,1097.3949432373047,2.0,success,,False
d4522u67,local,2025-12-01T09:19:47.543675,155252,1000,62.96110153198242,1104.788064956665,2.0,success,,False
lecih300,local,2025-12-01T09:19:47.544195,155314,1000,34.61098670959473,1095.832109451294,2.0,success,,False
dvwuksss,local,2025-12-01T09:19:47.552464,155270,1000,38.926124572753906,1098.2441902160645,3.0,success,,False
rn1lkehi,local,2025-12-01T09:19:47.556573,155316,1000,36.92913055419922,1097.5561141967773,2.0,success,,False
